datetime,actual_demand,predicted_demand
2022-10-07 07:00:00,92979,68772.4316689561
2022-10-07 08:00:00,42416,69000.42456588271
2022-10-07 09:00:00,39455,38645.40221871488
2022-10-07 10:00:00,32903,31830.158222834187
2022-10-07 11:00:00,47413,35516.613148306875
2022-10-07 12:00:00,61834,49891.31985883545
2022-10-07 13:00:00,72276,67606.60035524922
2022-10-07 14:00:00,59876,65342.45052416814
2022-10-07 15:00:00,67898,60435.37357772027
2022-10-07 16:00:00,64030,65414.8284312719
2022-10-07 17:00:00,55285,60340.26327261647
2022-10-07 18:00:00,47997,47594.17770272235
2022-10-07 19:00:00,44594,38704.46988714311
2022-10-07 20:00:00,31229,35676.74722512887
2022-10-07 21:00:00,19948,23613.326455281414
2022-10-07 22:00:00,17267,16565.99026228184
2022-10-07 23:00:00,13895,13467.82243617624
2022-10-08 00:00:00,4483,8126.681888913019
2022-10-08 01:00:00,1386,1964.9562551685067
2022-10-08 02:00:00,10,65.92595984372042
2022-10-08 03:00:00,0,71.9063634237657
2022-10-08 04:00:00,1268,1412.2576013243647
2022-10-08 05:00:00,5029,5069.5725479517505
2022-10-08 06:00:00,8657,11884.683022986012
2022-10-08 07:00:00,12848,24585.536540642803
2022-10-08 08:00:00,21934,19378.151414508808
2022-10-08 09:00:00,29238,27193.964728875333
2022-10-08 10:00:00,32259,30887.092497763784
2022-10-08 11:00:00,36158,36082.95755370271
2022-10-08 12:00:00,43562,40956.40508031887
2022-10-08 13:00:00,44454,48475.47269297057
2022-10-08 14:00:00,44220,46620.146123070954
2022-10-08 15:00:00,45768,47800.10578806709
2022-10-08 16:00:00,47096,48307.81025654563
2022-10-08 17:00:00,48612,48488.31054519447
2022-10-08 18:00:00,42358,46002.897609668384
2022-10-08 19:00:00,37869,38759.71492774686
2022-10-08 20:00:00,30289,32157.600663690537
2022-10-08 21:00:00,18716,23152.061497226874
2022-10-08 22:00:00,15527,15463.259941565733
2022-10-08 23:00:00,17307,13141.993601859023
2022-10-09 00:00:00,13457,11687.57804430698
2022-10-09 01:00:00,6931,9066.908117913466
2022-10-09 02:00:00,4175,4131.8266744551
2022-10-09 03:00:00,1068,2471.0004620301934
2022-10-09 04:00:00,896,1409.907886344643
2022-10-09 05:00:00,2575,2467.61391366693
2022-10-09 06:00:00,4711,3532.613690765862
2022-10-09 07:00:00,5878,4755.538724130853
2022-10-09 08:00:00,9283,10052.773317876898
2022-10-09 09:00:00,12683,15322.589944593938
2022-10-09 10:00:00,18114,19158.87485748864
2022-10-09 11:00:00,24336,23282.328728659755
2022-10-09 12:00:00,30101,28449.703555591375
2022-10-09 13:00:00,34450,31323.06150637274
2022-10-09 14:00:00,38584,34418.60878155551
2022-10-09 15:00:00,36737,36727.19805899229
2022-10-09 16:00:00,40242,37508.75580924149
2022-10-09 17:00:00,40373,39746.876765190646
2022-10-09 18:00:00,39723,37041.43476807788
2022-10-09 19:00:00,27217,33892.23581520744
2022-10-09 20:00:00,24733,24037.029575834473
2022-10-09 21:00:00,14199,19437.043274886164
2022-10-09 22:00:00,10865,12632.163441505223
2022-10-09 23:00:00,5760,10311.849462071194
2022-10-10 00:00:00,10142,6942.574286770854
2022-10-10 01:00:00,5943,7819.715225385776
2022-10-10 02:00:00,4369,4721.6359481819445
2022-10-10 03:00:00,1028,2759.025441406806
2022-10-10 04:00:00,3547,1279.9628131248887
2022-10-10 05:00:00,15657,6050.106774115002
2022-10-10 06:00:00,36893,16170.463133894014
