datetime,actual_demand,predicted_demand
2022-10-08 17:00:00,48612,48327.934
2022-10-08 18:00:00,42358,42249.418
2022-10-08 19:00:00,37869,37801.086
2022-10-08 20:00:00,30289,30117.45
2022-10-08 21:00:00,18716,18552.945
2022-10-08 22:00:00,15527,15422.737
2022-10-08 23:00:00,17307,16943.852
2022-10-09 00:00:00,13457,13227.297
2022-10-09 01:00:00,6931,6995.991
2022-10-09 02:00:00,4175,4157.3696
2022-10-09 03:00:00,1068,1162.5168
2022-10-09 04:00:00,896,945.5992
2022-10-09 05:00:00,2575,2597.5356
2022-10-09 06:00:00,4711,4678.5806
2022-10-09 07:00:00,5878,5943.2026
2022-10-09 08:00:00,9283,9279.041
2022-10-09 09:00:00,12683,12623.35
2022-10-09 10:00:00,18114,18003.836
2022-10-09 11:00:00,24336,24227.953
2022-10-09 12:00:00,30101,29898.086
2022-10-09 13:00:00,34450,34165.28
2022-10-09 14:00:00,38584,38376.555
2022-10-09 15:00:00,36737,36763.47
2022-10-09 16:00:00,40242,40173.2
2022-10-09 17:00:00,40373,40219.14
2022-10-09 18:00:00,39723,39461.758
2022-10-09 19:00:00,27217,27488.234
2022-10-09 20:00:00,24733,24590.857
2022-10-09 21:00:00,14199,14387.867
2022-10-09 22:00:00,10865,10924.285
2022-10-09 23:00:00,5760,5796.711
2022-10-10 00:00:00,10142,10039.439
2022-10-10 01:00:00,5943,6014.887
2022-10-10 02:00:00,4369,4309.8145
2022-10-10 03:00:00,1028,1133.3002
2022-10-10 04:00:00,3547,3566.231
2022-10-10 05:00:00,15657,15232.986
2022-10-10 06:00:00,36893,36631.496
2022-10-10 07:00:00,90012,85356.18
2022-10-10 08:00:00,48009,47558.17
2022-10-10 09:00:00,33569,33415.73
2022-10-10 10:00:00,34853,34605.855
2022-10-10 11:00:00,33657,33484.02
2022-10-10 12:00:00,41412,41132.11
2022-10-10 13:00:00,57936,57461.76
2022-10-10 14:00:00,51089,50882.375
2022-10-10 15:00:00,60744,60034.895
2022-10-10 16:00:00,68637,67481.39
2022-10-10 17:00:00,59628,58946.37
2022-10-10 18:00:00,45051,44977.562
2022-10-10 19:00:00,31874,31691.885
2022-10-10 20:00:00,22681,22738.7
2022-10-10 21:00:00,15449,15445.694
2022-10-10 22:00:00,10505,10524.149
2022-10-10 23:00:00,5511,5597.0464
2022-10-11 00:00:00,3057,3302.9695
2022-10-11 01:00:00,934,1083.3577
2022-10-11 02:00:00,98,133.40482
2022-10-11 03:00:00,33,93.473
2022-10-11 04:00:00,3383,3440.4849
