datetime,demand,hour,day_of_week,is_weekend,event,demandH1,demandH2,demandH3,hour_sin,hour_cos,minutes,hour^2,hour^3,demand24HAgo,demand7HAgo,h_0.0,h_1.0,h_2.0,h_3.0,h_4.0,h_5.0,h_6.0,h_7.0,h_8.0,h_9.0,h_10.0,h_11.0,h_12.0,h_13.0,h_14.0,h_15.0,h_16.0,h_17.0,h_18.0,h_19.0,h_20.0,h_21.0,h_22.0,h_23.0,h_0.0_weekend,h_1.0_weekend,h_2.0_weekend,h_3.0_weekend,h_4.0_weekend,h_5.0_weekend,h_6.0_weekend,h_7.0_weekend,h_8.0_weekend,h_9.0_weekend,h_10.0_weekend,h_11.0_weekend,h_12.0_weekend,h_13.0_weekend,h_14.0_weekend,h_15.0_weekend,h_16.0_weekend,h_17.0_weekend,h_18.0_weekend,h_19.0_weekend,h_20.0_weekend,h_21.0_weekend,h_22.0_weekend,h_23.0_weekend,rush,prediction_linear
2020-03-04 03:00:00,12,3.0,2,0,0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,180,32400,5832000,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.28298693371903
2020-03-04 04:00:00,2732,4.0,2,0,0,12.0,0.0,0.0,0.8660254037844386,0.5000000000000001,240,57600,13824000,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760.2764771081188
2020-03-04 05:00:00,15211,5.0,2,0,0,2732.0,12.0,0.0,0.9659258262890683,0.25881904510252074,300,90000,27000000,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5289.817381071968
2020-03-04 06:00:00,38626,6.0,2,0,0,15211.0,2732.0,12.0,1.0,6.123233995736766e-17,360,129600,46656000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15273.464505827593
2020-03-04 07:00:00,80690,7.0,2,0,0,38626.0,15211.0,2732.0,0.9659258262890683,-0.25881904510252063,420,176400,74088000,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34978.56183495186
2020-03-04 08:00:00,43938,8.0,2,0,0,80690.0,38626.0,15211.0,0.8660254037844387,-0.4999999999999998,480,230400,110592000,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40584.97392472923
2020-03-04 09:00:00,34140,9.0,2,0,1,43938.0,80690.0,38626.0,0.7071067811865476,-0.7071067811865475,540,291600,157464000,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24252.873269886808
2020-03-04 10:00:00,31689,10.0,2,0,0,34140.0,43938.0,80690.0,0.49999999999999994,-0.8660254037844387,600,360000,216000000,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17764.681827640932
2020-03-04 11:00:00,31154,11.0,2,0,0,31689.0,34140.0,43938.0,0.258819045102521,-0.9659258262890682,660,435600,287496000,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19488.858893369485
2020-03-04 12:00:00,41496,12.0,2,0,0,31154.0,31689.0,34140.0,1.2246467991473532e-16,-1.0,720,518400,373248000,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20754.375328453287
